Date,Temperature,Max_Temperature,Min_Temperature,Relative_Humidity,Rainfall,Wind_Speed,Solar_Radiation
2016-05-10,18.17,23.3,14.94,81.29,4.05,2.51,13.43
2016-05-11,19.03,26.27,13.03,71.24,0.27,2.38,16.76
2016-05-12,19.56,26.72,13.87,71.38,0.34,2.29,19.1
2016-05-13,19.56,26.76,14.22,73.59,0.67,2.06,16.39
2016-05-14,19.63,27.11,14.39,71.04,0.26,2.22,19.91
2016-05-15,19.28,27.84,13.16,63.38,0.02,1.9,21.78
2016-05-16,19.4,27.87,11.86,62.76,0.08,1.38,20.33
2016-05-17,19.56,26.61,13.37,70.55,4.11,1.59,21.17
2016-05-18,18.86,23.93,15.73,81.33,13.36,1.86,17.22
2016-05-19,17.56,22.19,14.44,83.42,6.41,1.83,12.19
2016-05-20,17.76,22.82,14.09,82.04,10.73,1.64,11.97
2016-05-21,18.29,24.69,13.1,75.59,0.25,1.79,13.89
2016-05-22,18.35,25.14,13.54,75.19,0.22,2.33,17.33
2016-05-23,18.63,25.32,14.11,75.76,0.23,2.76,16.25
2016-05-24,18.91,26.34,13.38,71.53,0.13,2.13,16.18
2016-05-25,18.99,26.47,12.45,69.06,0.14,1.45,14.94
2016-05-26,19.0,26.42,13.79,74.08,0.21,1.74,20.99
2016-05-27,18.73,25.78,13.54,72.91,0.14,2.16,13.76
2016-05-28,18.4,25.61,12.87,70.75,0.03,2.33,18.66
2016-05-29,18.46,25.92,12.04,68.44,0.01,1.86,19.99
2016-05-30,18.68,26.27,12.38,66.61,0.02,1.93,22.77
2016-05-31,18.72,26.78,12.64,68.52,0.02,2.03,22.1
2016-06-01,19.09,26.6,13.65,69.46,0.02,2.06,23.06
2016-06-02,19.17,26.8,12.9,69.0,0.01,1.56,23.0
2016-06-03,19.01,26.11,13.6,70.01,0.02,2.31,20.66
2016-06-04,18.86,26.7,12.71,68.66,0.01,2.23,17.24
2016-06-05,18.78,25.73,13.08,71.31,0.05,2.37,18.38
2016-06-06,19.14,26.35,14.26,71.36,0.18,2.59,18.41
2016-06-07,18.73,25.58,14.18,69.55,0.15,2.61,19.56
2016-06-08,18.53,26.01,13.11,67.41,0.18,2.02,21.58
2016-06-09,18.16,26.05,11.69,65.67,0.04,2.09,15.75
2016-06-10,17.34,24.32,12.13,67.24,0.09,2.34,16.65
2016-06-11,17.37,24.36,12.45,74.08,0.39,1.94,15.4
2016-06-12,19.24,27.3,12.94,68.58,0.07,1.81,19.32
2016-06-13,19.26,27.45,13.11,67.17,0.12,1.77,16.66
2016-06-14,19.36,27.16,11.87,65.35,0.03,1.57,21.02
2016-06-15,18.9,26.89,11.69,63.06,0.03,2.01,18.97
2016-06-16,17.96,23.71,13.28,74.28,1.62,1.32,16.13
2016-06-17,16.85,21.15,14.4,84.34,12.12,1.41,17.13
2016-06-18,16.42,21.49,13.31,81.2,9.63,2.18,8.17
2016-06-19,17.2,22.68,13.98,77.27,1.16,2.51,16.14
2016-06-20,17.75,23.44,13.57,78.68,2.78,2.24,11.15
2016-06-21,16.45,20.5,13.93,82.91,6.08,2.0,7.23
2016-06-22,16.0,21.0,12.74,80.81,1.33,2.04,8.01
2016-06-23,16.26,22.04,11.08,78.27,1.03,1.54,8.62
2016-06-24,16.36,22.72,12.56,74.2,0.73,2.15,12.28
2016-06-25,15.91,22.7,10.66,70.94,0.08,1.97,11.01
2016-06-26,16.86,23.91,11.27,73.48,0.14,2.64,13.83
2016-06-27,17.42,24.5,11.56,72.28,0.2,1.98,16.33
2016-06-28,17.55,24.29,11.64,71.08,0.16,1.92,21.78
2016-06-29,16.97,23.54,12.58,73.48,0.48,2.01,16.7
2016-06-30,16.77,22.87,11.87,72.14,0.15,1.64,20.36
2016-07-01,17.5,23.92,12.54,68.41,0.05,1.5,22.1
2016-07-02,18.93,27.41,11.23,67.54,0.03,1.51,21.21
2016-07-03,18.46,24.91,13.22,72.26,0.09,1.41,14.5
2016-07-04,17.87,24.85,12.94,68.97,0.16,2.15,19.94
2016-07-05,16.94,23.51,10.62,64.48,0.02,1.86,20.64
2016-07-06,17.5,25.13,9.71,64.41,0.02,1.67,20.17
2016-07-07,17.98,24.53,11.64,69.06,0.12,1.69,20.4
2016-07-08,17.71,23.93,13.22,73.43,0.25,1.73,15.74
2016-07-09,16.98,23.39,12.42,71.59,0.11,2.06,15.5
2016-07-10,17.09,23.5,12.25,67.6,0.05,2.05,19.33
2016-07-11,16.18,21.31,11.08,67.92,0.06,2.51,15.28
2016-07-12,14.55,19.23,10.79,73.78,0.09,1.77,8.55
2016-07-13,16.18,25.35,8.77,61.41,0.18,1.8,11.49
2016-07-14,16.81,24.44,10.32,71.45,0.1,1.99,13.32
2016-07-15,16.33,22.46,10.58,71.64,0.06,1.73,19.7
2016-07-16,16.9,23.65,12.19,72.19,0.12,2.01,12.65
2016-07-17,16.31,22.2,11.82,75.82,0.43,1.73,17.28
2016-07-18,17.24,24.32,11.51,71.81,0.08,1.89,14.94
2016-07-19,18.35,26.03,11.92,66.8,0.04,2.13,21.5
2016-07-20,17.65,24.93,11.99,70.03,0.26,1.88,19.7
2016-07-21,17.93,25.44,11.64,68.99,0.27,1.97,17.4
2016-07-22,17.09,23.36,12.42,70.51,0.78,1.95,18.74
2016-07-23,17.93,25.23,11.26,63.79,0.07,1.88,19.96
2016-07-24,18.1,25.27,11.61,61.21,0.22,2.23,21.66
2016-07-25,18.13,25.97,12.68,65.51,0.2,3.0,20.15
2016-07-26,18.7,26.81,12.74,63.8,0.08,2.67,18.34
2016-07-27,19.3,26.49,12.27,61.82,0.04,2.07,22.56
2016-07-28,18.14,24.39,11.37,59.64,0.04,2.33,19.24
2016-07-29,18.52,26.51,12.94,63.07,0.15,2.09,20.86
2016-07-30,18.9,26.68,12.32,65.22,0.21,2.17,19.64
2016-07-31,19.45,26.93,11.72,59.63,0.09,2.21,22.1
2016-08-01,19.19,27.73,11.67,59.97,0.03,1.95,24.18
2016-08-02,19.41,28.51,11.05,56.39,0.03,2.12,24.7
2016-08-03,19.58,27.64,11.49,59.51,0.23,1.94,21.34
2016-08-04,18.07,25.66,12.67,68.71,0.82,1.85,16.2
2016-08-05,17.59,24.06,12.73,71.74,0.92,2.11,14.38
2016-08-06,17.16,23.84,12.36,74.78,1.45,2.5,9.73
2016-08-07,16.58,21.67,12.43,66.1,0.44,2.37,14.21
2016-08-08,16.84,23.31,12.21,71.74,0.49,3.13,10.5
2016-08-09,16.88,23.33,11.5,68.37,0.16,3.1,14.27
2016-08-10,16.68,22.89,11.26,64.18,0.34,2.43,17.04
2016-08-11,17.57,24.44,11.22,66.12,0.32,1.92,19.46
2016-08-12,17.34,23.77,12.28,71.47,1.98,2.22,15.66
2016-08-13,17.54,24.33,12.33,70.17,0.75,2.45,16.01
2016-08-14,17.41,24.53,12.38,70.18,0.47,2.61,19.31
2016-08-15,18.32,26.39,12.51,69.53,0.15,3.1,15.85
2016-08-16,18.38,27.39,12.31,61.46,0.15,3.21,20.11
2016-08-17,18.49,27.64,11.57,59.4,0.06,2.83,22.88
2016-08-18,18.86,28.03,12.22,58.1,0.1,2.75,23.72
2016-08-19,19.58,28.55,11.99,58.79,0.07,2.54,20.56
2016-08-20,19.56,28.37,12.7,61.74,0.19,2.48,22.08
2016-08-21,18.78,24.61,12.88,64.91,0.35,1.38,22.94
2016-08-22,18.54,25.16,12.6,64.01,2.56,1.51,22.94
2016-08-23,18.7,25.12,13.28,63.7,0.43,2.2,22.22
2016-08-24,18.51,27.74,12.24,55.35,0.0,3.08,22.83
2016-08-25,18.33,27.9,10.47,55.19,0.0,2.66,25.93
2016-08-26,18.02,25.81,12.41,61.49,0.02,2.72,19.9
2016-08-27,18.19,27.22,11.93,60.02,0.02,3.06,22.28
2016-08-28,17.64,25.75,11.64,59.47,0.01,3.18,22.2
2016-08-29,17.29,24.19,11.79,65.74,0.15,3.21,15.85
2016-08-30,17.58,26.6,11.23,63.25,0.55,3.44,16.03
2016-08-31,17.62,25.32,11.45,65.73,0.27,3.03,18.36
2016-09-01,17.05,24.1,11.47,66.2,0.27,3.26,14.09
2016-09-02,17.34,25.22,11.36,64.24,0.13,3.06,16.94
2016-09-03,17.81,26.86,11.48,67.73,0.47,2.8,15.31
2016-09-04,17.62,24.81,11.69,66.33,0.44,2.83,19.86
2016-09-05,18.18,25.78,12.47,71.35,0.42,3.23,17.84
2016-09-06,19.02,27.72,12.74,65.15,0.22,2.99,21.51
2016-09-07,19.18,28.61,12.07,60.42,0.29,2.97,21.02
2016-09-08,19.62,29.45,12.0,52.53,0.06,2.5,26.78
2016-09-09,19.18,28.9,11.84,52.59,0.04,2.85,27.37
2016-09-10,18.69,27.36,11.54,60.12,0.18,3.54,26.33
2016-09-11,19.45,28.79,12.47,53.2,0.2,3.27,23.2
2016-09-12,19.68,28.05,11.65,52.29,0.04,2.36,25.19
2016-09-13,19.95,28.24,12.78,55.92,0.01,2.7,24.63
2016-09-14,19.08,26.53,13.42,66.15,0.78,2.94,22.51
2016-09-15,19.59,27.44,13.51,55.08,0.22,2.74,21.26
2016-09-16,20.11,28.46,12.94,54.38,0.07,2.43,22.31
2016-09-17,20.68,29.58,12.88,53.79,0.05,2.57,24.83
2016-09-18,20.35,29.32,12.77,54.62,0.04,2.92,24.02
2016-09-19,19.02,27.28,12.76,56.96,0.07,2.43,23.28
2016-09-20,18.87,27.98,11.72,55.12,0.09,2.88,24.31
2016-09-21,19.06,26.95,12.25,61.13,0.57,2.76,23.92
2016-09-22,19.19,27.2,12.38,60.95,0.19,3.07,25.37
2016-09-23,20.58,29.19,13.32,59.4,0.1,2.73,26.46
2016-09-24,20.03,27.73,13.86,64.51,0.42,2.3,21.47
2016-09-25,18.86,26.09,14.2,72.02,0.83,2.18,17.92
2016-09-26,18.71,24.05,14.26,66.64,1.03,2.41,17.84
2016-09-27,19.13,27.1,12.89,61.23,0.07,3.31,24.17
2016-09-28,19.34,26.92,13.07,66.57,0.32,3.15,22.74
2016-09-29,20.05,27.9,14.74,67.33,1.24,3.63,21.2
2016-09-30,20.27,28.13,13.79,60.03,0.15,2.91,22.88
2016-10-01,19.41,25.25,13.61,62.32,0.27,1.81,23.63
2016-10-02,19.67,26.11,13.92,64.04,0.7,2.94,22.63
2016-10-03,20.51,28.1,14.36,62.59,1.44,2.42,21.56
2016-10-04,19.84,26.22,14.52,67.04,2.61,2.73,17.24
2016-10-05,19.62,26.93,12.93,59.34,0.64,3.1,18.62
2016-10-06,20.17,28.77,12.94,59.79,0.37,3.37,24.45
2016-10-07,20.6,29.08,12.53,56.13,0.12,3.25,26.36
2016-10-08,20.77,28.98,13.39,56.38,0.07,3.63,26.14
2016-10-09,20.73,29.49,14.21,62.03,0.3,4.31,26.16
2016-10-10,20.55,29.24,13.99,60.54,0.13,3.87,26.97
2016-10-11,20.25,29.24,13.71,55.42,0.05,3.5,22.86
2016-10-12,19.91,29.69,12.28,52.9,0.06,3.0,27.66
2016-10-13,19.99,30.35,12.65,48.94,0.05,2.93,28.38
2016-10-14,19.95,29.99,11.46,50.96,0.01,2.84,26.88
2016-10-15,20.32,30.07,12.58,49.96,0.03,3.01,26.19
2016-10-16,20.46,30.21,11.58,49.25,0.0,2.93,26.19
2016-10-17,20.55,29.35,12.65,51.72,0.0,3.05,24.99
2016-10-18,20.67,30.04,13.08,52.43,0.05,3.31,25.92
2016-10-19,20.22,29.63,13.23,55.45,0.11,3.28,27.56
2016-10-20,20.24,29.78,13.25,54.48,0.12,3.15,21.48
2016-10-21,20.74,30.08,13.01,55.39,0.08,3.0,24.12
2016-10-22,20.85,29.16,13.54,56.54,0.31,2.55,24.14
2016-10-23,20.97,28.26,14.31,56.09,0.12,2.24,24.12
2016-10-24,21.03,28.88,13.98,47.78,0.02,2.53,23.99
2016-10-25,21.01,29.33,14.63,59.72,0.2,3.38,24.29
2016-10-26,20.67,28.48,15.04,62.61,0.62,3.98,22.14
2016-10-27,20.63,28.64,14.84,62.62,0.24,4.07,23.5
